O74515
P00519
P00734
P00766
P00772
P00784
P00794
P01017
P01050
P02788
P02931
P03369
P05121
P05310
P05311
P06873
P07658
P09945
P0A386
P0A444
P0C0V0
P10793
P11838
P12353
P12355
P12357
P17227
P17230
P18314
P18315
P18316
P22179
P22629
P28504
P28505
P28507
P29466
P36886
P42574
P51534
P65294
P81186
P87314
P96405
P97227
Q9NR28
